id,x,y,z,vx,vy,vz,energy,frequency,phase,spin
9497,42.0272,-6.2997,6.4468,-10.017765,15.110442,1.052092,2.6691,1.0000,3.9189,1
8623,24.1739,-41.0991,-12.3782,1.957110,-1.110558,-7.284730,2.9062,0.6660,0.9279,-1
8190,78.3961,102.1915,69.7945,-7.257651,-8.857834,-6.303037,3.0347,0.5000,1.2067,1
6690,-153.4146,-15.2726,60.5645,-6.042188,-3.821346,-1.131550,1.9142,1.0000,2.3328,1
4982,4.5549,-14.0932,-16.1314,-10.912767,-15.332616,-6.154387,1.9789,2.0000,0.7055,1
7724,-95.1390,-165.4747,118.8041,-10.242860,-10.873885,5.249218,1.5791,2.0000,0.9114,-1
9715,60.1001,168.5159,-32.5522,3.840144,6.204833,-6.441741,0.8091,1.0000,3.6814,-1
2177,24.6973,-2.1308,43.0190,-1.628171,8.355127,17.344139,3.0557,1.3330,4.0960,-1
4146,-42.8896,-41.5055,16.1779,8.032654,15.493071,0.286131,0.7947,0.6660,0.5670,-1
5325,51.2573,38.2472,-44.4441,-11.657873,-6.977415,7.737777,1.7471,0.6660,6.2816,-1
6216,-17.9586,9.4983,-153.6020,-3.949271,3.843723,-20.312091,1.6498,0.6660,2.4728,-1
4741,86.4869,30.8334,-69.2256,7.939442,0.674586,1.534473,2.6274,1.0000,5.0040,-1
8477,188.3241,52.9712,-93.2282,6.576104,2.672450,-0.765557,3.1049,1.0000,3.4262,-1
5419,71.2092,-63.6690,-32.7179,-12.598924,7.068226,0.191270,3.3479,1.6180,0.9955,-1
8490,26.9206,-65.2693,16.5812,-4.895487,-3.444215,1.899939,3.4042,1.3330,5.4295,-1
9820,44.7681,127.5208,79.6522,-2.150556,4.807257,5.527851,0.7338,1.3330,0.9018,1
3179,204.3870,-44.2594,-28.5981,24.038438,-1.853674,-4.234301,2.1785,0.6660,2.3616,1
6592,73.0853,-132.9141,-134.4171,2.702958,-2.645414,-8.927918,1.7286,1.6180,1.6071,-1
1018,19.1689,157.0236,46.5457,-0.545473,-11.989318,-2.787881,0.8152,1.0000,0.3143,-1
7185,-68.2722,118.6164,-38.2583,-6.835871,2.319086,2.623143,1.9974,0.5000,3.2678,-1
5050,83.5304,78.7980,21.7976,8.641260,-1.775158,2.395106,1.7857,2.0000,4.5442,-1
106806,1694.5188,106.3201,908.2266,-0.718261,-0.044721,-0.384620,52.3229,0.6660,4.3027,1
7738,-0.2073,-24.1302,140.1727,-5.842345,-7.287572,17.356018,2.9980,1.5000,3.8987,1
6461,-87.2767,15.6667,-51.1012,-18.082893,2.018491,-2.530287,1.8525,0.5000,1.6797,-1
3769,-36.0853,-103.0225,203.3926,0.067602,-1.633809,9.596845,1.4834,0.5000,2.8006,1
3417,-126.3365,36.4029,-56.7989,-7.585452,-2.480043,2.355975,1.4873,1.6180,4.7248,1
4812,-0.0008,-41.5655,46.2621,-10.890877,-4.789174,16.182749,1.7627,1.5000,1.5502,1
8088,159.0974,40.7093,250.0437,9.406154,2.718582,18.645285,1.9269,1.5000,3.0780,1
7767,162.7184,-7.9792,201.1669,-4.049149,-2.700531,-8.896824,2.1218,2.0000,3.1631,1
1926,-158.2217,46.9217,182.3052,-9.847016,0.739783,8.077313,2.8184,1.3330,0.4246,-1
3613,16.1887,-168.1276,-26.8061,-1.513944,-5.125919,3.397936,2.5298,1.6180,2.5400,1
